date,Apple_Price,Apple_Vol.,sentiment_score
09-03-2020,120.88,257600000.00000003,-0.538815051317215
09-04-2020,120.96,332610000.0,-0.9972112957620993
09-07-2020,120.96,332610000.0,0.0
09-08-2020,120.96,332610000.0,0.99945201362425
09-09-2020,117.32,176940000.0,-0.990040814736858
09-10-2020,113.49,182270000.0,0.8050103038549423
09-11-2020,112.0,180860000.0,0.9601021425332874
09-14-2020,115.36,140150000.0,0.9989868318516528
09-15-2020,115.54,184640000.0,0.9986671849037521
09-16-2020,112.13,155030000.0,0.9994442546740174
09-17-2020,110.34,178010000.0,4.787615034729242e-05
09-18-2020,106.84,287100000.0,0.0
09-21-2020,110.08,195710000.0,0.0
09-22-2020,111.81,183060000.0,0.004528510587988421
09-23-2020,107.12,150720000.0,0.0
09-24-2020,108.22,167740000.0,-0.9909770828671753
09-25-2020,112.28,149980000.0,0.0
09-28-2020,114.96,137670000.0,0.5646189722465351
09-29-2020,114.09,100060000.0,0.9904634146951139
09-30-2020,115.81,142680000.0,0.0
10-01-2020,116.79,116120000.0,0.9994713538471842
10-02-2020,113.02,144710000.0,0.0
10-05-2020,116.5,106240000.0,0.0
10-06-2020,113.16,161500000.0,0.9986111035686918
10-07-2020,115.08,96850000.0,0.9979007808724418
10-08-2020,114.97,83480000.0,-8.902285480871797e-05
10-09-2020,116.97,100510000.0,-0.49720391631126404
10-12-2020,124.4,240230000.0,0.9989448277628981
10-13-2020,121.1,262330000.0,-0.9827848966233432
10-14-2020,121.19,151060000.0,0.0
10-15-2020,120.71,112560000.0,0.0
10-16-2020,119.02,115390000.0,0.00016704745939932764
10-19-2020,115.98,120640000.0,0.0
10-20-2020,117.51,124420000.0,0.9992355960712302
10-21-2020,116.87,89950000.0,0.9993038378015626
10-22-2020,115.75,101990000.0,0.99934059860243
10-23-2020,115.04,82570000.0,0.7794068908551708
10-26-2020,115.05,111850000.0,0.9993244635115843
10-27-2020,116.6,92280000.0,0.9994819262064993
10-28-2020,111.2,143940000.0,0.9986447400879115
10-29-2020,115.32,146130000.0,-0.9971028879517689
10-30-2020,108.86,190570000.0,0.9876049850136042
11-02-2020,108.77,122870000.0,0.9995127784932265
11-03-2020,110.44,107620000.0,0.19560802285559475
11-04-2020,114.95,138240000.0,0.0
11-05-2020,119.03,126390000.0,0.0
11-06-2020,118.69,114460000.0,0.0
11-09-2020,116.32,154520000.0,-0.9550637386273593
11-10-2020,115.97,138020000.0,0.5348159102723002
11-11-2020,119.49,112300000.0,0.9991802978038322
11-12-2020,119.21,103350000.0,0.0
11-13-2020,119.26,81690000.0,0.999325036566006
11-16-2020,120.3,91180000.0,0.0
11-17-2020,119.39,74270000.0,0.0
11-18-2020,118.03,76320000.0,0.0
11-19-2020,118.64,74110000.0,0.0
11-20-2020,117.34,73600000.0,0.0
11-23-2020,113.85,127960000.0,0.9991346287715714
11-24-2020,115.17,113870000.0,0.0
11-25-2020,116.03,76500000.0,0.004773563327034935
11-26-2020,116.03,76500000.0,0.0
11-27-2020,116.03,76500000.0,0.0
11-30-2020,119.05,169410000.0,0.9985867955256253
12-01-2020,122.72,128170000.0,-0.5589591413736343
12-02-2020,123.08,89000000.0,0.0
12-03-2020,122.94,78970000.0,0.0
12-04-2020,122.25,78260000.0,-0.9967519617639482
12-07-2020,123.75,86710000.0,-0.01979607011890039
12-08-2020,124.38,82230000.0,0.0
12-09-2020,121.78,115090000.0,0.015291449133655988
12-10-2020,123.24,81310000.0,0.999468586029252
12-11-2020,122.41,86940000.0,0.9980141214327887
12-14-2020,121.78,79080000.0,-0.3359582982957363
12-15-2020,127.88,157570000.0,0.99905075240531
12-16-2020,127.81,98210000.0,0.9994101112824865
12-17-2020,128.7,94360000.0,-0.9695839036721736
12-18-2020,126.65,192540000.0,0.0
12-21-2020,128.23,121250000.0,-0.9975438676192425
12-22-2020,131.88,169350000.0,0.9994787660398288
12-23-2020,130.96,88220000.0,0.9992960459931055
12-24-2020,131.97,54930000.0,0.0001999529413296841
12-25-2020,131.97,54930000.0,0.9992955453053582
12-28-2020,136.69,124490000.0,0.9992222242290154
12-29-2020,134.87,121050000.0,0.9994385719619459
12-30-2020,133.72,96450000.0,0.9994531084521441
12-31-2020,132.69,99120000.0,0.0
01-01-2021,132.69,99120000.0,0.0
01-04-2021,129.41,143300000.0,0.9993972205847967
01-05-2021,131.01,97670000.0,0.999403471039841
01-06-2021,126.6,155090000.0,0.9932117921271129
01-07-2021,130.92,109580000.0,0.9993496328243054
01-08-2021,132.05,105160000.0,0.8315819731215015
01-11-2021,128.98,100620000.0,0.0
01-12-2021,128.8,91950000.0,0.9992953038599808
01-13-2021,130.89,88640000.0,0.800242967903614
01-14-2021,128.91,90220000.0,0.9994573773437878
01-15-2021,127.14,111600000.0,0.9994223854591837
01-18-2021,127.14,111600000.0,0.9961399737512693
01-19-2021,127.14,111600000.0,0.9969502462190576
01-20-2021,132.03,104320000.0,0.7434014357277192
01-21-2021,136.87,120530000.0,0.9991937763115857
01-22-2021,139.07,114460000.0,0.9995129113085568
01-25-2021,142.92,157610000.0,-0.9787493757903576
01-26-2021,143.16,98390000.0,0.002078817218716722
01-27-2021,142.06,140840000.0,0.9993640596512705
01-28-2021,137.09,142620000.0,0.10539023217279464
01-29-2021,131.96,177520000.0,-0.9977300179307349
02-01-2021,134.14,106240000.0,0.9994462935719639
02-02-2021,134.99,83310000.0,-2.349454371142201e-05
02-03-2021,133.94,89880000.0,0.9114166721701622
02-04-2021,137.39,84180000.0,0.9994245101697743
02-05-2021,136.76,75690000.0,-0.006643399130553007
02-08-2021,136.91,71300000.0,0.840620483388193
02-09-2021,136.01,76770000.0,-2.8665715944953263e-05
02-10-2021,135.39,73050000.0,0.005981436290312558
02-11-2021,135.13,64280000.0,0.9994140057970071
02-12-2021,135.37,60150000.0,-0.9968589644995518
02-15-2021,135.37,60150000.0,0.9992353196721524
02-16-2021,135.37,60150000.0,0.9994602936640149
02-17-2021,130.84,98090000.0,-0.6068176329135895
02-18-2021,129.71,96860000.0,-0.9981137011491228
02-19-2021,129.87,87670000.0,0.043609996093437076
02-22-2021,126.0,103920000.0,0.9993307053518947
02-23-2021,125.86,158270000.0,0.9979741230490617
02-24-2021,125.35,111040000.0,0.9994845402252395
02-25-2021,120.99,148200000.0,0.9793711844831705
02-26-2021,121.26,164560000.0,-2.018889063037932e-05
03-01-2021,127.79,116310000.0,0.9898873406345956
03-02-2021,125.12,102260000.0,0.9992333235568367
03-03-2021,122.06,112970000.0,-0.9975329302833416
03-04-2021,120.13,178160000.0,-0.9949495545588434
03-05-2021,121.42,153770000.0,-0.9779307693243027
03-08-2021,116.36,154380000.0,-0.9945797082036734
03-09-2021,121.08,129530000.0,0.9990775012702215
03-10-2021,119.98,111940000.0,0.9978173431591131
03-11-2021,121.96,103030000.0,0.998858907376416
03-12-2021,121.03,88110000.0,0.9982598649221472
03-15-2021,123.99,92590000.0,0.10039616387803108
03-16-2021,125.57,115230000.0,0.9657902675680816
03-17-2021,124.76,111930000.0,0.9994193208985962
03-18-2021,120.53,121470000.0,0.00013554016186390072
03-19-2021,119.99,185550000.0,0.9973129430727568
03-22-2021,123.39,111910000.0,0.9991216270718724
03-23-2021,122.54,95470000.0,0.9991560945345555
03-24-2021,120.09,88530000.0,0.9993949726631399
03-25-2021,120.59,98850000.0,0.004082387313246727
03-26-2021,121.21,94070000.0,0.948438661871478
03-29-2021,121.39,80820000.0,-0.8304787948727608
03-30-2021,119.9,85670000.0,-0.9980216935218778
03-31-2021,122.15,118320000.0,0.9993341919907834
04-01-2021,123.0,75090000.0,0.21411293663550168
04-02-2021,123.0,75090000.0,-0.013588956091552973
04-05-2021,125.9,88650000.0,-7.984856347320601e-05
