date,Apple_Price,Apple_Vol.,sentiment_class
03-25-22,174.72,80550000.0,0.291
03-24-22,174.07,90130000.0,-0.021
03-23-22,170.21,98060000.0,0.0209999999999999
03-22-22,168.82,81530000.0,-0.027
03-21-22,165.38,95810000.0,0.059
03-18-22,163.98,123510000.0,0.0269999999999999
03-17-22,160.62,75620000.0,0.13
03-16-22,159.59,102300000.0,0.0
03-15-22,155.09,92960000.0,0.0959999999999999
03-14-22,150.62,108730000.0,-0.052
03-11-22,154.73,96970000.0,0.054
03-10-22,158.52,105340000.0,0.123
03-09-22,162.95,91460000.0,0.158
03-08-22,157.44,131150000.0,0.057
03-07-22,159.3,96420000.0,-0.0269999999999999
03-04-22,163.17,83820000.0,0.0829999999999999
03-03-22,166.23,76680000.0,0.067
03-02-22,166.56,79730000.0,0.049
03-01-22,163.2,83470000.0,-0.016
02-28-22,165.12,95060000.0,0.0
02-25-22,164.85,91970000.0,-0.07
02-24-22,162.74,141150000.0,-0.0099999999999999
02-23-22,160.07,90010000.0,0.078
02-18-22,167.3,82770000.0,-0.248
02-17-22,168.88,69590000.0,-0.111
02-16-22,172.55,61180000.0,0.1319999999999999
02-15-22,172.79,64290000.00000001,0.0
02-14-22,168.88,86190000.0,0.115
02-11-22,168.64,98670000.0,0.016
02-10-22,172.12,90870000.0,0.092
02-09-22,176.28,71290000.0,0.0989999999999999
02-08-22,174.83,74830000.0,0.176
02-07-22,171.66,77250000.0,0.0679999999999999
02-04-22,172.39,82470000.0,0.072
02-03-22,172.9,89420000.0,0.062
02-02-22,175.84,84910000.0,0.001
02-01-22,174.61,86210000.0,0.194
01-31-22,174.78,115540000.0,0.122
01-28-22,170.33,179940000.0,0.231
01-27-22,159.22,121960000.0,0.043
01-26-22,159.69,108280000.0,0.092
01-25-22,159.78,115800000.0,-0.114
01-24-22,161.62,162710000.0,0.0119999999999999
01-21-22,162.41,122850000.0,0.0129999999999999
01-20-22,164.51,91420000.0,0.1139999999999999
01-19-22,166.23,94820000.0,0.037
01-14-22,173.07,80440000.0,-0.084
01-13-22,172.19,84510000.0,-0.006
01-12-22,175.53,74810000.0,0.1159999999999999
01-11-22,175.08,76140000.0,-0.022
