date,Apple_Price,Apple_Vol.
2021-05-06,129.74,78130000.0
2021-05-07,130.21,78970000.0
2021-05-10,126.85,88070000.0
2021-05-11,125.91,126140000.0
2021-05-12,122.77,112170000.0
2021-05-13,124.97,105860000.0
2021-05-14,127.45,81920000.0
2021-05-17,126.27,74250000.0
2021-05-18,124.85,63340000.0
2021-05-19,124.69,92610000.0
2021-05-20,127.31,76860000.0
2021-05-21,125.43,79300000.0
2021-05-24,127.1,63090000.0
2021-05-25,126.9,72010000.0
2021-05-26,126.85,56580000.0
2021-05-27,125.28,94630000.0
2021-05-28,124.61,71310000.0
2021-05-31,124.61,71310000.0
2021-06-01,124.61,71310000.0
2021-06-02,125.06,59280000.0
2021-06-03,123.54,76230000.0
2021-06-04,125.89,75170000.0
2021-06-07,125.9,71060000.0
2021-06-08,126.74,74400000.0
2021-06-09,127.13,56880000.0
2021-06-10,126.11,71190000.0
2021-06-11,127.35,53520000.0
2021-06-14,130.48,96910000.0
2021-06-15,129.64,62750000.0
2021-06-16,130.15,91820000.0
2021-06-17,131.79,96720000.0
2021-06-18,130.46,108950000.0
2021-06-21,132.3,79660000.0
2021-06-22,133.98,74780000.0
2021-06-23,133.7,60210000.0
2021-06-24,133.41,68710000.0
2021-06-25,133.11,70780000.0
2021-06-28,134.78,62110000.0
2021-06-29,136.33,64560000.0
2021-06-30,136.96,63260000.0
2021-07-01,137.27,52490000.0
2021-07-02,139.96,78950000.0
2021-07-05,139.96,78950000.0
2021-07-06,139.96,78950000.0
2021-07-07,144.57,104910000.0
2021-07-08,143.24,105580000.0
2021-07-09,145.11,99890000.0
2021-07-12,144.5,76300000.0
2021-07-13,145.64,100830000.0
2021-07-14,149.15,127050000.0
2021-07-15,148.48,106820000.0
2021-07-16,146.39,93250000.0
2021-07-19,142.45,121440000.0
2021-07-20,146.15,96350000.0
2021-07-21,145.4,74990000.0
2021-07-22,146.8,77340000.0
2021-07-23,148.56,71450000.0
2021-07-26,148.99,72430000.0
2021-07-27,146.77,104820000.0
2021-07-28,144.98,118930000.0
2021-07-29,145.64,56700000.0
2021-07-30,145.86,70440000.0
2021-08-02,145.52,62880000.0
2021-08-03,147.36,64790000.00000001
2021-08-04,146.95,56370000.0
2021-08-05,147.06,46400000.0
2021-08-06,146.14,54130000.0
2021-08-09,146.09,48910000.0
2021-08-10,145.6,69020000.0
2021-08-11,145.86,48490000.0
2021-08-12,148.89,73780000.0
2021-08-13,149.1,59380000.0
2021-08-16,151.12,103560000.0
2021-08-17,150.19,92230000.0
2021-08-18,146.36,86330000.0
2021-08-19,146.7,86960000.0
2021-08-20,148.19,60550000.0
2021-08-23,149.71,60130000.0
2021-08-24,149.62,48610000.0
2021-08-25,148.36,58990000.0
2021-08-26,147.54,48600000.0
2021-08-27,148.6,55800000.0
2021-08-30,153.12,90960000.0
2021-08-31,151.83,86450000.0
2021-09-01,152.51,80310000.0
2021-09-02,153.65,71170000.0
